Dimension,Bucket,Query,InputPoints,QueryBox,TargetBox,TargetSimilarity,Constraints,Solver,Runtime,Similarity,Status
2,b1,1,2864,"[(1779112434.5709236, 1779113284.9481964), (2117.75, 76795.5)]","[(1779112393.4802563, 1779113273.0851536), (235.6388314446133, 67724.07646018972)]",0.7982544478012756,constraint_d2_b1_q1.txt,Dinkelbach_WS_Grid,494.1915,0.973487423521414,Success
2,b1,1,2864,"[(1779112434.5709236, 1779113284.9481964), (2117.75, 76795.5)]","[(1779112393.4802563, 1779113273.0851536), (235.6388314446133, 67724.07646018972)]",0.7982544478012756,constraint_d2_b1_q1.txt,Dinkelbach_NoWS,824.2522,0.973487423521414,Success
2,b1,1,2864,"[(1779112434.5709236, 1779113284.9481964), (2117.75, 76795.5)]","[(1779112393.4802563, 1779113273.0851536), (235.6388314446133, 67724.07646018972)]",0.7982544478012756,constraint_d2_b1_q1.txt,BinarySearch_NoGrid,161.03,0.973487423521414,Success
2,b1,1,2864,"[(1779112434.5709236, 1779113284.9481964), (2117.75, 76795.5)]","[(1779112393.4802563, 1779113273.0851536), (235.6388314446133, 67724.07646018972)]",0.7982544478012756,constraint_d2_b1_q1.txt,BinarySearch_WS_Grid,189.7333,0.973487423521414,Success
2,b1,1,2864,"[(1779112434.5709236, 1779113284.9481964), (2117.75, 76795.5)]","[(1779112393.4802563, 1779113273.0851536), (235.6388314446133, 67724.07646018972)]",0.7982544478012756,constraint_d2_b1_q1.txt,BFSMP,48.0965,0.973487,Success
2,b2,2,8901,"[(1779112005.381729, 1779113259.1670256), (84.38, 76902.5)]","[(1779111995.2176237, 1779113220.798858), (-8725.506107747924, 82981.69281291931)]",0.8000186549762149,constraint_d2_b2_q2.txt,Dinkelbach_WS_Grid,57.2949,1.0,Success
2,b2,2,8901,"[(1779112005.381729, 1779113259.1670256), (84.38, 76902.5)]","[(1779111995.2176237, 1779113220.798858), (-8725.506107747924, 82981.69281291931)]",0.8000186549762149,constraint_d2_b2_q2.txt,Dinkelbach_NoWS,309.2763,1.0,Success
2,b2,2,8901,"[(1779112005.381729, 1779113259.1670256), (84.38, 76902.5)]","[(1779111995.2176237, 1779113220.798858), (-8725.506107747924, 82981.69281291931)]",0.8000186549762149,constraint_d2_b2_q2.txt,BinarySearch_NoGrid,181.7525,1.0,Success
2,b2,2,8901,"[(1779112005.381729, 1779113259.1670256), (84.38, 76902.5)]","[(1779111995.2176237, 1779113220.798858), (-8725.506107747924, 82981.69281291931)]",0.8000186549762149,constraint_d2_b2_q2.txt,BinarySearch_WS_Grid,105.2081,1.0,Success
2,b2,2,8901,"[(1779112005.381729, 1779113259.1670256), (84.38, 76902.5)]","[(1779111995.2176237, 1779113220.798858), (-8725.506107747924, 82981.69281291931)]",0.8000186549762149,constraint_d2_b2_q2.txt,BFSMP,3.597e-05,1.0,Success
2,b3,3,12449,"[(1779111212.1848712, 1779113364.3970573), (84.69, 76949.3)]","[(1779111217.4052222, 1779113368.9597688), (-3856.23175543868, 77004.21269765735)]",0.7248380885699283,constraint_d2_b3_q3.txt,Dinkelbach_WS_Grid,186.532,0.727288660396097,Success
2,b3,3,12449,"[(1779111212.1848712, 1779113364.3970573), (84.69, 76949.3)]","[(1779111217.4052222, 1779113368.9597688), (-3856.23175543868, 77004.21269765735)]",0.7248380885699283,constraint_d2_b3_q3.txt,Dinkelbach_NoWS,1513.4721,0.727288660396097,Success
2,b3,3,12449,"[(1779111212.1848712, 1779113364.3970573), (84.69, 76949.3)]","[(1779111217.4052222, 1779113368.9597688), (-3856.23175543868, 77004.21269765735)]",0.7248380885699283,constraint_d2_b3_q3.txt,BinarySearch_NoGrid,TIMEOUT,TIMEOUT,Timeout
2,b3,3,12449,"[(1779111212.1848712, 1779113364.3970573), (84.69, 76949.3)]","[(1779111217.4052222, 1779113368.9597688), (-3856.23175543868, 77004.21269765735)]",0.7248380885699283,constraint_d2_b3_q3.txt,BinarySearch_WS_Grid,834.8272,0.727288660396097,Success
2,b3,3,12449,"[(1779111212.1848712, 1779113364.3970573), (84.69, 76949.3)]","[(1779111217.4052222, 1779113368.9597688), (-3856.23175543868, 77004.21269765735)]",0.7248380885699283,constraint_d2_b3_q3.txt,BFSMP,TIMEOUT,TIMEOUT,Timeout
3,b1,1,2611,"[(1779112459.0, 1779113511.7751825), (2120.44, 76873.7), (24.704941373556643, 1904.1462588194643)]","[(1779112438.7532713, 1779113437.208126), (1320.0068389479593, 66347.56568575505), (50.97700274550959, 1785.8259551040805)]",0.8009015777610818,constraint_d3_b1_q1.txt,Dinkelbach_WS_Grid,TIMEOUT,TIMEOUT,Timeout
3,b1,1,2611,"[(1779112459.0, 1779113511.7751825), (2120.44, 76873.7), (24.704941373556643, 1904.1462588194643)]","[(1779112438.7532713, 1779113437.208126), (1320.0068389479593, 66347.56568575505), (50.97700274550959, 1785.8259551040805)]",0.8009015777610818,constraint_d3_b1_q1.txt,Dinkelbach_NoWS,1284.8317,0.981578947368421,Success
3,b1,1,2611,"[(1779112459.0, 1779113511.7751825), (2120.44, 76873.7), (24.704941373556643, 1904.1462588194643)]","[(1779112438.7532713, 1779113437.208126), (1320.0068389479593, 66347.56568575505), (50.97700274550959, 1785.8259551040805)]",0.8009015777610818,constraint_d3_b1_q1.txt,BinarySearch_NoGrid,306.8893,0.981565086531227,Success
3,b1,1,2611,"[(1779112459.0, 1779113511.7751825), (2120.44, 76873.7), (24.704941373556643, 1904.1462588194643)]","[(1779112438.7532713, 1779113437.208126), (1320.0068389479593, 66347.56568575505), (50.97700274550959, 1785.8259551040805)]",0.8009015777610818,constraint_d3_b1_q1.txt,BinarySearch_WS_Grid,197.6336,0.981578947368421,Success
3,b1,1,2611,"[(1779112459.0, 1779113511.7751825), (2120.44, 76873.7), (24.704941373556643, 1904.1462588194643)]","[(1779112438.7532713, 1779113437.208126), (1320.0068389479593, 66347.56568575505), (50.97700274550959, 1785.8259551040805)]",0.8009015777610818,constraint_d3_b1_q1.txt,BFSMP,TIMEOUT,TIMEOUT,Timeout
3,b2,2,10252,"[(1779112382.495995, 1779114475.6868632), (2115.7755115204977, 76880.8), (0.047, 2145.450503969391)]","[(1779112426.8367016, 1779114748.1798437), (1168.1110611167833, 86540.06922070209), (-194.64480611155545, 2144.8550785968514)]",0.7990060739922694,constraint_d3_b2_q2.txt,Dinkelbach_WS_Grid,169.7457,1.0,Success
3,b2,2,10252,"[(1779112382.495995, 1779114475.6868632), (2115.7755115204977, 76880.8), (0.047, 2145.450503969391)]","[(1779112426.8367016, 1779114748.1798437), (1168.1110611167833, 86540.06922070209), (-194.64480611155545, 2144.8550785968514)]",0.7990060739922694,constraint_d3_b2_q2.txt,Dinkelbach_NoWS,494.7833,1.0,Success
3,b2,2,10252,"[(1779112382.495995, 1779114475.6868632), (2115.7755115204977, 76880.8), (0.047, 2145.450503969391)]","[(1779112426.8367016, 1779114748.1798437), (1168.1110611167833, 86540.06922070209), (-194.64480611155545, 2144.8550785968514)]",0.7990060739922694,constraint_d3_b2_q2.txt,BinarySearch_NoGrid,1354.8374,1.0,Success
3,b2,2,10252,"[(1779112382.495995, 1779114475.6868632), (2115.7755115204977, 76880.8), (0.047, 2145.450503969391)]","[(1779112426.8367016, 1779114748.1798437), (1168.1110611167833, 86540.06922070209), (-194.64480611155545, 2144.8550785968514)]",0.7990060739922694,constraint_d3_b2_q2.txt,BinarySearch_WS_Grid,309.9764,1.0,Success
3,b2,2,10252,"[(1779112382.495995, 1779114475.6868632), (2115.7755115204977, 76880.8), (0.047, 2145.450503969391)]","[(1779112426.8367016, 1779114748.1798437), (1168.1110611167833, 86540.06922070209), (-194.64480611155545, 2144.8550785968514)]",0.7990060739922694,constraint_d3_b2_q2.txt,BFSMP,0.000113042,1.0,Success
3,b3,3,20242,"[(1779111661.018609, 1779114660.4029834), (84.35, 77044.1), (2.665, 2618.829457303247)]","[(1779111794.2942245, 1779114706.0560505), (-11414.15032304296, 87454.65264742609), (-7.1365831158871655, 2975.8772439086256)]",0.7999586776859504,constraint_d3_b3_q3.txt,Dinkelbach_WS_Grid,136.3795,0.994204322200393,Success
3,b3,3,20242,"[(1779111661.018609, 1779114660.4029834), (84.35, 77044.1), (2.665, 2618.829457303247)]","[(1779111794.2942245, 1779114706.0560505), (-11414.15032304296, 87454.65264742609), (-7.1365831158871655, 2975.8772439086256)]",0.7999586776859504,constraint_d3_b3_q3.txt,Dinkelbach_NoWS,296.3018,0.994204322200393,Success
3,b3,3,20242,"[(1779111661.018609, 1779114660.4029834), (84.35, 77044.1), (2.665, 2618.829457303247)]","[(1779111794.2942245, 1779114706.0560505), (-11414.15032304296, 87454.65264742609), (-7.1365831158871655, 2975.8772439086256)]",0.7999586776859504,constraint_d3_b3_q3.txt,BinarySearch_NoGrid,269.449,0.994204322200393,Success
3,b3,3,20242,"[(1779111661.018609, 1779114660.4029834), (84.35, 77044.1), (2.665, 2618.829457303247)]","[(1779111794.2942245, 1779114706.0560505), (-11414.15032304296, 87454.65264742609), (-7.1365831158871655, 2975.8772439086256)]",0.7999586776859504,constraint_d3_b3_q3.txt,BinarySearch_WS_Grid,178.8872,0.994204322200393,Success
3,b3,3,20242,"[(1779111661.018609, 1779114660.4029834), (84.35, 77044.1), (2.665, 2618.829457303247)]","[(1779111794.2942245, 1779114706.0560505), (-11414.15032304296, 87454.65264742609), (-7.1365831158871655, 2975.8772439086256)]",0.7999586776859504,constraint_d3_b3_q3.txt,BFSMP,TIMEOUT,TIMEOUT,Timeout
4,b1,1,2944,"[(1779112296.4054024, 1779113450.3723485), (84.87, 76657.3), (13.49583674228051, 1137.157826489853), (84.27, 77172.0)]","[(1779112230.9145963, 1779113507.1546857), (926.7555908028321, 70933.46479470244), (-41.62762412075627, 1151.0701298623246), (-6593.728393908443, 87717.57522484857)]",0.7990692581439912,constraint_d4_b1_q1.txt,Dinkelbach_WS_Grid,346.4593,0.805912948261703,Success
4,b1,1,2944,"[(1779112296.4054024, 1779113450.3723485), (84.87, 76657.3), (13.49583674228051, 1137.157826489853), (84.27, 77172.0)]","[(1779112230.9145963, 1779113507.1546857), (926.7555908028321, 70933.46479470244), (-41.62762412075627, 1151.0701298623246), (-6593.728393908443, 87717.57522484857)]",0.7990692581439912,constraint_d4_b1_q1.txt,Dinkelbach_NoWS,TIMEOUT,TIMEOUT,Timeout
4,b1,1,2944,"[(1779112296.4054024, 1779113450.3723485), (84.87, 76657.3), (13.49583674228051, 1137.157826489853), (84.27, 77172.0)]","[(1779112230.9145963, 1779113507.1546857), (926.7555908028321, 70933.46479470244), (-41.62762412075627, 1151.0701298623246), (-6593.728393908443, 87717.57522484857)]",0.7990692581439912,constraint_d4_b1_q1.txt,BinarySearch_NoGrid,477.245,0.805912948261703,Success
4,b1,1,2944,"[(1779112296.4054024, 1779113450.3723485), (84.87, 76657.3), (13.49583674228051, 1137.157826489853), (84.27, 77172.0)]","[(1779112230.9145963, 1779113507.1546857), (926.7555908028321, 70933.46479470244), (-41.62762412075627, 1151.0701298623246), (-6593.728393908443, 87717.57522484857)]",0.7990692581439912,constraint_d4_b1_q1.txt,BinarySearch_WS_Grid,367.7872,0.805912948261703,Success
4,b1,1,2944,"[(1779112296.4054024, 1779113450.3723485), (84.87, 76657.3), (13.49583674228051, 1137.157826489853), (84.27, 77172.0)]","[(1779112230.9145963, 1779113507.1546857), (926.7555908028321, 70933.46479470244), (-41.62762412075627, 1151.0701298623246), (-6593.728393908443, 87717.57522484857)]",0.7990692581439912,constraint_d4_b1_q1.txt,BFSMP,TIMEOUT,TIMEOUT,Timeout
4,b2,2,4988,"[(1779112408.3183625, 1779114190.2783177), (84.67, 76830.5), (3.419804697263179, 2921.830862301626), (2120.08, 76690.0)]","[(1779112412.5910504, 1779114172.1336527), (-3149.678943715454, 70876.54715373754), (-361.52402462138417, 3344.7429109300656), (1009.3890013158966, 86896.04642792475)]",0.7586084487042953,constraint_d4_b2_q2.txt,Dinkelbach_WS_Grid,301.9428,1.0,Success
4,b2,2,4988,"[(1779112408.3183625, 1779114190.2783177), (84.67, 76830.5), (3.419804697263179, 2921.830862301626), (2120.08, 76690.0)]","[(1779112412.5910504, 1779114172.1336527), (-3149.678943715454, 70876.54715373754), (-361.52402462138417, 3344.7429109300656), (1009.3890013158966, 86896.04642792475)]",0.7586084487042953,constraint_d4_b2_q2.txt,Dinkelbach_NoWS,754.0257,1.0,Success
4,b2,2,4988,"[(1779112408.3183625, 1779114190.2783177), (84.67, 76830.5), (3.419804697263179, 2921.830862301626), (2120.08, 76690.0)]","[(1779112412.5910504, 1779114172.1336527), (-3149.678943715454, 70876.54715373754), (-361.52402462138417, 3344.7429109300656), (1009.3890013158966, 86896.04642792475)]",0.7586084487042953,constraint_d4_b2_q2.txt,BinarySearch_NoGrid,308.5639,1.0,Success
4,b2,2,4988,"[(1779112408.3183625, 1779114190.2783177), (84.67, 76830.5), (3.419804697263179, 2921.830862301626), (2120.08, 76690.0)]","[(1779112412.5910504, 1779114172.1336527), (-3149.678943715454, 70876.54715373754), (-361.52402462138417, 3344.7429109300656), (1009.3890013158966, 86896.04642792475)]",0.7586084487042953,constraint_d4_b2_q2.txt,BinarySearch_WS_Grid,173.6027,1.0,Success
4,b2,2,4988,"[(1779112408.3183625, 1779114190.2783177), (84.67, 76830.5), (3.419804697263179, 2921.830862301626), (2120.08, 76690.0)]","[(1779112412.5910504, 1779114172.1336527), (-3149.678943715454, 70876.54715373754), (-361.52402462138417, 3344.7429109300656), (1009.3890013158966, 86896.04642792475)]",0.7586084487042953,constraint_d4_b2_q2.txt,BFSMP,0.000260993,1.0,Success
4,b3,3,14559,"[(1779111179.076805, 1779114658.109272), (84.44, 76784.2), (2.414, 1197.3871709556897), (84.33, 76976.0)]","[(1779110896.6112726, 1779114562.229328), (-1803.7000538610966, 76726.18574777231), (-166.07604709599067, 1210.2839212398214), (-1972.4315371113921, 78584.56933079805)]",0.7813891090920178,constraint_d4_b3_q3.txt,Dinkelbach_WS_Grid,290.2015,0.939411536972513,Success
4,b3,3,14559,"[(1779111179.076805, 1779114658.109272), (84.44, 76784.2), (2.414, 1197.3871709556897), (84.33, 76976.0)]","[(1779110896.6112726, 1779114562.229328), (-1803.7000538610966, 76726.18574777231), (-166.07604709599067, 1210.2839212398214), (-1972.4315371113921, 78584.56933079805)]",0.7813891090920178,constraint_d4_b3_q3.txt,Dinkelbach_NoWS,946.3075,0.939411536972513,Success
4,b3,3,14559,"[(1779111179.076805, 1779114658.109272), (84.44, 76784.2), (2.414, 1197.3871709556897), (84.33, 76976.0)]","[(1779110896.6112726, 1779114562.229328), (-1803.7000538610966, 76726.18574777231), (-166.07604709599067, 1210.2839212398214), (-1972.4315371113921, 78584.56933079805)]",0.7813891090920178,constraint_d4_b3_q3.txt,BinarySearch_NoGrid,991.5936,0.939411536972513,Success
4,b3,3,14559,"[(1779111179.076805, 1779114658.109272), (84.44, 76784.2), (2.414, 1197.3871709556897), (84.33, 76976.0)]","[(1779110896.6112726, 1779114562.229328), (-1803.7000538610966, 76726.18574777231), (-166.07604709599067, 1210.2839212398214), (-1972.4315371113921, 78584.56933079805)]",0.7813891090920178,constraint_d4_b3_q3.txt,BinarySearch_WS_Grid,187.0898,0.939411536972513,Success
4,b3,3,14559,"[(1779111179.076805, 1779114658.109272), (84.44, 76784.2), (2.414, 1197.3871709556897), (84.33, 76976.0)]","[(1779110896.6112726, 1779114562.229328), (-1803.7000538610966, 76726.18574777231), (-166.07604709599067, 1210.2839212398214), (-1972.4315371113921, 78584.56933079805)]",0.7813891090920178,constraint_d4_b3_q3.txt,BFSMP,TIMEOUT,TIMEOUT,Timeout
5,b1,1,1865,"[(1779112301.0308542, 1779113292.453706), (2118.92, 76803.6), (29.885276754804966, 2880.33848494835), (84.87, 76455.82663531242), (27.97893326046365, 1486.0815338628008)]","[(1779112308.1709368, 1779113324.3313608), (-6256.7064046427295, 69278.38040229805), (-5.939622771451713, 3094.984940276793), (1083.3227389398855, 67536.28494159496), (28.824600816844292, 1428.218817884209)]",0.7785291631445478,constraint_d5_b1_q1.txt,Dinkelbach_WS_Grid,1221.1327,0.795988049509176,Success
5,b1,1,1865,"[(1779112301.0308542, 1779113292.453706), (2118.92, 76803.6), (29.885276754804966, 2880.33848494835), (84.87, 76455.82663531242), (27.97893326046365, 1486.0815338628008)]","[(1779112308.1709368, 1779113324.3313608), (-6256.7064046427295, 69278.38040229805), (-5.939622771451713, 3094.984940276793), (1083.3227389398855, 67536.28494159496), (28.824600816844292, 1428.218817884209)]",0.7785291631445478,constraint_d5_b1_q1.txt,Dinkelbach_NoWS,1715.1463,0.795988049509176,Success
5,b1,1,1865,"[(1779112301.0308542, 1779113292.453706), (2118.92, 76803.6), (29.885276754804966, 2880.33848494835), (84.87, 76455.82663531242), (27.97893326046365, 1486.0815338628008)]","[(1779112308.1709368, 1779113324.3313608), (-6256.7064046427295, 69278.38040229805), (-5.939622771451713, 3094.984940276793), (1083.3227389398855, 67536.28494159496), (28.824600816844292, 1428.218817884209)]",0.7785291631445478,constraint_d5_b1_q1.txt,BinarySearch_NoGrid,930.7595,0.795988049509176,Success
